symbol,securityName,sector
SANIMA,Sanima Bank Limited,Commercial Banks
NLICL,National Life Insurance Co. Ltd.,Life Insurance
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydro Power
NABIL,Nabil Bank Limited,Commercial Banks
SAHAS,Sahas Urja Limited,Hydro Power
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance
GBBL,Garima Bikas Bank Limited,Development Banks
API,Api Power Company Ltd.,Hydro Power
SHIVM,SHIVAM CEMENTS LTD,Manufacturing And Processing
CORBL,Corporate Development Bank Limited,Development Banks
PRSF,Prabhu Smart Fund,Mutual Fund
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Hydro Power
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance
BPCL,Butwal Power Company Limited,Hydro Power
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance
PFL,Pokhara Finance Ltd.,Finance
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance
RADHI,Radhi Bidyut Company Ltd,Hydro Power
SAPDBL,Saptakoshi Development Bank Ltd,Development Banks
SBI,Nepal SBI Bank Limited,Commercial Banks
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance
HLI,Himalayan Life Insurance Limited,Life Insurance
SINDU,Sindhu Bikash Bank Ltd,Development Banks
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks
SHL,Soaltee Hotel Limited,Hotels And Tourism
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
SMH,Super Mai Hydropower Limited,Hydro Power
HRL,Himalayan Reinsurance Limited,Others
TPC,Terhathum Power Company Limited,Hydro Power
TTL,Trade Tower Limited,Others
RBCL,Rastriya Beema Company Limited,Non Life Insurance
NIL,Neco Insurance Limited,Non Life Insurance
LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance
GVL,Green Ventures Limited,Hydro Power
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power
GUFL,Gurkhas Finance Ltd.,Finance
NRN,NRN Infrastructure and Development Limited,Investment
NLG,NLG Insurance Company Ltd.,Non Life Insurance
JBBL,Jyoti Bikas Bank Limited,Development Banks
ALICL,Asian Life Insurance Co. Limited,Life Insurance
SHINE,Shine Resunga Development Bank Ltd.,Development Banks
MEL,Modi Energy Limited,Hydro Power
SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund
BEDC,Bhugol Energy Development Company Limited,Hydro Power
RBCLPO,Rastriya Beema Company Limited Promoter Share,Non Life Insurance
RIDI,Ridi Power Company Limited,Hydro Power
NIFRA,Nepal Infrastructure Bank Limited,Investment
JFL,Janaki Finance Company Limited,Finance
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Hydro Power
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power
SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment
OMPL,Om Megashree Pharmaceuticals Limited,Manufacturing And Processing
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance
SFCL,Samriddhi Finance Company Limited,Finance
SIKLES,Sikles Hydropower Limited,Hydro Power
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
UMRH,United IDI Mardi RB Hydropower Limited.,Hydro Power
NICA,NIC Asia Bank Ltd.,Commercial Banks
PCBL,Prime Commercial Bank Ltd.,Commercial Banks
SANVI,Sanvi Energy Limited,Hydro Power
HHL,Himalayan Hydropower Limited,Hydro Power
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance
CLI,Citizen Life Insurance Company Limited,Life Insurance
NRIC,Nepal Reinsurance Company Limited,Others
NIBLSTF,NIBL Stable Fund,Mutual Fund
BHCL,Bikash Hydropower Company Limited,Hydro Power
JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,Microfinance
BHL,Balephi Hydropower Limited,Hydro Power
HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance
GLH,GreenLife Hydropower Limited,Hydro Power
MANDU,Mandu Hydropower Limited,Hydro Power
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance
NABILD87,9% Nabil Debenture 2087,Non-Convertible Debenture
MHL,Mandakini Hydropower Limited,Hydro Power
TRH,Taragaon Regency Hotel Limited,Hotels And Tourism
NRM,Nepal Republic Media Limited,Others
ILI,IME Life Insurance Company Limited,Life Insurance
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power
SMJC,Sagarmatha Jalabidhyut Company Limited,Hydro Power
BARUN,Barun Hydropower Co. Ltd.,Hydro Power
PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power
STC,Salt Trading Corporation,Tradings
RAWA,Rawa Energy Development Limited,Hydro Power
BHPL,Barahi Hydropower Public Limited,Hydro Power
PBD88,10% Prime Debenture 2088,Non-Convertible Debenture
PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
NHPC,National Hydro Power Company Limited,Hydro Power
MAKAR,Makar Jitumaya Suri Hydropower Limited,Hydro Power
MKHC,Maya Khola Hydropower Company Limited,Hydro Power
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance
RMF1,RBB Mutual Fund 1,Mutual Fund
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,Microfinance
SGHC,Swet-Ganga Hydropower & Construction Limited ,Hydro Power
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance
EHPL,Eastern Hydropower Limited,Hydro Power
MSHL,Mid Solu Hydropower Limited,Hydro Power
HEI,Himalayan Everest Insurance Limited,Non Life Insurance
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,Microfinance
RFPL,River Falls Power Limited,Hydro Power
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
OHL,Oriental Hotels Limited,Hotels And Tourism
SHPC,Sanima Mai Hydropower Ltd.,Hydro Power
CFCL,Central Finance Co. Ltd.,Finance
SPC,Samling Power Company Limited,Hydro Power
GHL,Ghalemdi Hydro Limited,Hydro Power
UPCL,UNIVERSAL POWER COMPANY LTD,Hydro Power
SIFC,Shree Investment Finance Co. Ltd.,Finance
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance
PROFL,Progressive Finance Limited,Finance
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power
JBBD87,Jyoti Bikash Bank Bond 2087,Non-Convertible Debenture
NFS,Nepal Finance Ltd.,Finance
MDB,Miteri Development Bank Limited,Development Banks
HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,Investment
BFC,Best Finance Company Ltd.,Finance
AKPL,Arun Kabeli Power Ltd.,Hydro Power
UHEWA,Upper Hewakhola Hydropower Company Limited,Hydro Power
NMIC,Nepal Micro Insurance Company Limited,Non Life Insurance
AHL,Asian Hydropower Limited,Hydro Power
PRIN,Prabhu Insurance Ltd.,Non Life Insurance
EDBL,Excel Development Bank Ltd.,Development Banks
RHGCL,Rapti Hydro And General Construction Limited,Hydro Power
IHL,Ingwa Hydropower Limited,Hydro Power
IGI,IGI Prudential insurance Limited,Non Life Insurance
SMHL,Super Madi Hydropower Limited,Hydro Power
UMHL,United Modi Hydropower Ltd.,Hydro Power
NWCL,Nepal Warehousing Company Limited ,Others
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance
CHDC,CEDB Holdings Limited,Investment
UAIL,United Ajod Insurance Limited,Non Life Insurance
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance
RLFL,Reliance Finance Ltd.,Finance
SGIC,Sanima GIC Insurance Limited,Non Life Insurance
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power
MEHL,Manakamana Engineering Hydropower Limited,Hydro Power
CHL,Chhyangdi Hydropower Ltd.,Hydro Power
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance
MKHL,Mai Khola Hydropower Limited,Hydro Power
HATHY,Hathway Investment Nepal Limited,Investment
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance
SHEL,Singati Hydro Energy Limited,Hydro Power
LBBL,Lumbini Bikas Bank Ltd.,Development Banks
HIMSTAR,Him Star Urja Company Limited,Hydro Power
VLUCL,Vision Lumbini Urja Company Limited ,Hydro Power
GFCL,Goodwill Finance Limited,Finance
CITY,City Hotel Limited,Hotels And Tourism
MCHL,Menchhiyam Hydropower Limited,Hydro Power
MHCL,Molung Hydropower Company Limited,Hydro Power
SPHL,Sayapatri Hydropower Limited,Hydro Power
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Banks
MFIL,Manjushree Finance Ltd.,Finance
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance
NGPL,Ngadi Group Power Ltd.,Hydro Power
TVCL,Trishuli Jal Vidhyut Company Limited ,Hydro Power
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance
MPFL,Multipurpose Finance Company  Limited,Finance
DOLTI,Dolti Power Company Limited,Hydro Power
TSHL,Three Star Hydropower Limited,Hydro Power
